latitude,longitude,swc_value
-6.9761948,107.6303803,0.20877612579272278
-6.9761978,107.6303845,0.20844885564558963
-6.9761578,107.6304133,0.28591506032778824
-6.9761502,107.6304138,0.2544148808008005
-6.9761477,107.6304113,0.40562550903809624
-6.9761423,107.6304098,0.34907596510031635
-6.9761308,107.6304148,0.27584554160335634
-6.976123,107.6304175,0.4541580402838359
-6.9761168,107.6304092,0.38178918109528015
-6.9761025,107.6304107,0.2433832947137966
-6.976094,107.6304138,0.2513790574658394
-6.9760865,107.6304153,0.24792306037778472
-6.976072,107.6304185,0.24419869465518462
-6.9760615,107.6304187,0.24899051702228076
-6.9760527,107.63042,0.24321511531817275
-6.9760395,107.6304227,0.26356621140648856
-6.9760327,107.630423,0.267297196260627
-6.9760218,107.6304228,0.24150578468630102
-6.9760068,107.6304233,0.2440592112741426
-6.9759958,107.6304217,0.24207438320045344
-6.9759835,107.6304217,0.271330726519013
-6.9759753,107.6304248,0.2608663549751417
-6.9759647,107.6304237,0.24503139665003504
-6.9759538,107.6304055,0.2599911865598245
-6.9759492,107.6304078,0.2462871913847537
-6.9759382,107.6304095,0.22728348618509603
-6.9759268,107.6304078,0.25937925753945285
-6.9759248,107.630401,0.24073186148358167
-6.9759243,107.6303975,0.2412137603797973
-6.9759602,107.630372,0.2780256130610147
-6.9759748,107.6303712,0.25316776516780753
-6.9759902,107.630371,0.3971020918080306
-6.9760148,107.6303728,0.29487775464113664
-6.9760287,107.6303735,0.26077853980990134
-6.9760462,107.6303712,0.2928471128770139
-6.9760657,107.6303683,0.27473879150353886
-6.9760818,107.6303677,0.2568999640698262
-6.9760953,107.630364,0.1966058145622669
-6.9761173,107.6303622,0.2039401093413353
-6.9761332,107.6303633,0.2076013839600672
-6.9761488,107.6303678,0.21977974949747367
-6.9761638,107.630365,0.218489133706533
-6.9761658,107.6303517,0.21538235042920156
-6.9761633,107.6303395,0.20765636400848386
-6.9761445,107.6303263,0.21638834380449815
-6.9761322,107.6303247,0.21347952870211787
-6.9761182,107.6303252,0.21315297178911802
-6.9761013,107.6303238,0.22334515380998973
-6.9760882,107.6303233,0.21071538251488134
-6.9760762,107.630322,0.22587047090262305
-6.9760572,107.6303182,0.22136291771158462
-6.976041,107.6303193,0.21546602802854628
-6.9760235,107.6303197,0.2151277390279497
-6.9760075,107.6303175,0.2181009465352111
-6.9759937,107.6303153,0.21217711840836387
-6.9759767,107.6303185,0.220904881667789
-6.9759602,107.630319,0.21776440146204154
-6.9759452,107.630323,0.22398339462718952
-6.97593,107.6303207,0.2189061115794323
-6.9759237,107.6303073,0.21330323614990518
-6.9759205,107.6302905,0.2098721245916156
-6.9759267,107.6302782,0.21653988887454706
-6.9759415,107.6302743,0.2180340234962826
-6.9759547,107.6302737,0.20933447652469234
-6.9759708,107.6302738,0.21155326969450344
-6.9759847,107.6302748,0.22908599595900347
-6.9759973,107.6302722,0.21564646600464535
-6.9760115,107.6302732,0.2225893328814781
-6.9760277,107.630275,0.213949234604067
-6.9760405,107.6302735,0.2217164526941934
-6.9760582,107.6302728,0.21643287985379467
-6.976073,107.6302752,0.22378925827230103
